"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Robert Woods,LAR,2018,26,WR,16,16,130,86,1219,6,66,799,9.3,420,4.9,11.4,2,43.0,2,1,3,102.1,82.4,265.6,11,34,23
Tyler Boyd,CIN,2018,24,WR,14,14,108,76,1028,7,54,610,8.0,418,5.5,9.3,1,76.0,5,4,0,122.0,329.0,221.1,17,115,98
Adam Humphries,TAM,2018,25,WR,16,10,105,76,816,5,48,393,5.2,423,5.6,6.2,7,10.9,5,4,1,106.7,313.5,188.7,24,111,87
Kenny Golladay,DET,2018,25,WR,15,13,119,70,1063,5,55,713,10.2,350,5.0,12.4,6,11.7,4,3,2,95.3,144.6,207.1,21,53,32
Taylor Gabriel,CHI,2018,27,WR,16,11,93,67,688,2,31,462,6.9,226,3.4,11.1,2,33.5,0,0,2,91.2,284.5,151.9,41,100,59
Mohamed Sanu,ATL,2018,29,WR,16,16,94,66,838,4,40,437,6.6,401,6.1,8.0,4,16.5,3,3,0,111.9,158.0,182.4,31,58,27
Dede Westbrook,JAX,2018,25,WR,16,9,101,66,717,5,40,355,5.4,362,5.5,8.0,5,13.2,6,5,3,90.2,168.5,179.5,33,64,31
Cole Beasley,DAL,2018,29,WR,16,4,87,65,672,3,39,459,7.1,213,3.3,7.4,2,32.5,1,1,0,108.0,248.0,150.2,43,85,42
Calvin Ridley,ATL,2018,24,WR,16,5,92,64,821,10,39,457,7.1,364,5.7,10.2,0,,10,10,2,124.4,135.6,206.8,22,48,26
Willie Snead,BAL,2018,26,WR,16,10,95,62,651,1,37,369,6.0,282,4.5,8.1,9,6.9,5,5,3,75.4,273.0,134.4,52,92,40
Chris Godwin,TAM,2018,22,WR,16,5,95,59,842,7,48,597,10.1,245,4.2,11.7,2,29.5,3,3,2,106.6,166.6,185.2,27,62,35
Tyler Lockett,SEA,2018,26,WR,16,14,70,57,965,10,37,752,13.2,213,3.7,13.6,0,,0,0,0,158.3,150.0,222.4,16,55,39
Zay Jones,BUF,2018,23,WR,16,15,102,56,652,7,33,510,9.1,142,2.5,12.0,1,56.0,3,2,5,76.9,282.0,165.2,35,99,64
Chester Rogers,IND,2018,24,WR,16,10,72,53,485,2,28,227,4.3,258,4.9,6.3,1,53.0,5,6,1,95.0,287.0,117.1,62,102,40
Donte Moncrief,JAX,2018,25,WR,16,14,89,48,668,3,28,416,8.7,252,5.3,12.9,3,16.0,4,4,1,84.9,220.3,130.8,56,79,23
Seth Roberts,OAK,2018,27,WR,15,7,64,45,494,2,24,283,6.3,211,4.7,8.9,2,22.5,4,6,0,103.3,405.0,106.9,68,128,60
Antonio Callaway,CLE,2018,21,WR,16,11,79,43,586,5,27,350,8.1,236,5.5,13.8,3,14.3,6,7,5,73.1,280.7,132.3,55,98,43
Christian Kirk,ARI,2018,22,WR,12,7,68,43,590,3,21,365,8.5,225,5.2,9.6,1,43.0,4,5,4,81.1,189.0,123.5,58,74,16
Mike Williams,LAC,2018,24,WR,16,5,66,43,664,10,36,546,12.7,118,2.7,14.8,5,8.6,2,3,1,131.6,177.2,180.2,32,67,35
Jarius Wright,CAR,2018,29,WR,16,6,59,43,447,1,24,249,5.8,198,4.6,6.2,5,8.6,3,5,1,93.0,999.0,97.6,77,142,65
Kendrick Bourne,SFO,2018,23,WR,16,8,66,42,487,4,30,340,8.1,147,3.5,8.2,4,10.5,5,7,2,93.4,457.0,114.7,65,140,75
John Brown,BAL,2018,28,WR,16,15,97,42,715,5,28,559,13.3,156,3.7,16.3,1,42.0,6,6,2,77.5,173.2,143.9,45,66,21
Courtland Sutton,DEN,2018,23,WR,16,9,84,42,704,4,30,541,12.9,163,3.9,14.0,5,8.4,7,8,3,79.7,194.4,136.3,50,77,27
DeSean Jackson,TAM,2018,32,WR,12,10,74,41,774,4,31,593,14.5,181,4.4,19.2,1,41.0,2,2,7,70.4,168.3,151.3,42,63,21
Tyrell Williams,LAC,2018,26,WR,16,10,65,41,653,5,30,458,11.2,195,4.8,12.3,0,,2,3,5,90.1,183.0,137.8,48,69,21
Rashard Higgins,CLE,2018,24,WR,13,1,53,39,572,4,27,426,10.9,146,3.7,11.1,1,39.0,3,5,2,117.8,361.0,118.2,61,119,58
Curtis Samuel,CAR,2018,22,WR,13,8,65,39,494,5,24,383,9.8,111,2.8,11.9,4,9.8,2,3,3,90.2,276.0,136.8,49,94,45
Marquez Valdes-Scantling,GNB,2018,24,WR,16,10,73,38,581,2,23,372,9.8,209,5.5,12.2,0,,5,6,0,87.8,417.0,111.0,66,131,65
Chris Conley,KAN,2018,26,WR,16,13,52,32,334,5,18,194,6.1,140,4.4,8.4,2,16.0,4,7,1,104.2,427.0,91.4,80,134,54
Bruce Ellington,"2TM",2018,27,WR,7,3,42,31,224,1,14,116,3.7,108,3.5,4.9,1,31.0,4,9,0,93.7,407.0,59.6,110,129,19
DaeSean Hamilton,DEN,2018,23,WR,14,5,45,30,243,2,16,181,6.0,62,2.1,8.9,1,30.0,1,2,1,85.7,396.0,66.3,101,125,24
Josh Reynolds,LAR,2018,23,WR,16,8,53,29,402,5,23,273,9.4,129,4.4,12.4,1,29.0,2,3,4,79.3,458.0,100.0,74,141,67
Maurice Harris,WAS,2018,26,WR,12,7,47,28,304,0,12,204,7.3,100,3.6,9.9,0,,1,2,3,52.1,999.0,59.4,111,143,32
Dontrelle Inman,IND,2018,29,WR,9,4,39,28,304,3,16,246,8.8,58,2.1,10.3,1,28.0,1,2,0,120.0,999.0,76.4,90,144,54
Robert Foster,BUF,2018,24,WR,13,3,44,27,541,3,20,374,13.9,167,6.2,20.7,0,,3,6,0,127.2,999.0,99.1,75,145,70
Zach Pascal,IND,2018,24,WR,16,4,46,27,268,2,15,187,6.9,81,3.0,9.5,1,27.0,4,8,2,71.6,999.0,66.8,100,146,46
Dante Pettis,SFO,2018,23,WR,12,7,45,27,467,5,19,262,9.7,205,7.6,11.1,4,6.8,2,4,2,113.8,265.3,103.5,71,90,19
David Moore,SEA,2018,23,WR,16,7,53,26,445,5,19,352,13.5,93,3.6,15.9,0,,3,5,2,93.7,999.0,101.0,72,147,75
Tajae Sharpe,TEN,2018,24,WR,16,13,47,26,316,2,22,242,9.3,74,2.8,10.9,0,,1,2,3,63.8,348.0,71.2,96,118,22
Albert Wilson,MIA,2018,26,WR,7,3,35,26,391,4,11,56,2.2,335,12.9,7.0,3,8.7,1,2,2,124.8,277.3,96.8,78,97,19
Tim Patrick,DEN,2018,25,WR,16,4,41,23,315,1,15,203,8.8,112,4.9,10.2,2,11.5,4,9,1,78.8,999.0,60.2,109,148,39
DeAndre Carter,"2TM",2018,25,WR,14,4,25,22,216,0,10,66,3.0,150,6.8,3.4,1,22.0,0,0,0,102.7,999.0,42.3,126,149,23
Demarcus Robinson,KAN,2018,24,WR,16,5,33,22,288,4,12,172,7.8,116,5.3,11.7,0,,0,0,1,121.0,437.0,74.8,91,138,47
Trent Sherfield,ARI,2018,22,WR,13,2,28,19,210,1,11,172,9.1,38,2.0,11.3,0,,1,3,2,72.0,999.0,46.0,122,150,28
Isaiah McKenzie,"2TM",2018,23,WR,8,1,30,18,179,0,10,103,5.7,76,4.2,8.2,3,6.0,1,3,1,63.1,999.0,52.5,117,151,34
Aldrick Robinson,MIN,2018,30,WR,14,0,35,17,231,5,12,189,11.1,42,2.5,17.2,0,,2,5,1,97.7,999.0,70.1,97,152,55
Breshad Perriman,CLE,2018,25,WR,10,2,25,16,340,2,13,265,16.6,75,4.7,18.4,0,,0,0,0,134.2,999.0,62.2,104,153,49
Marcell Ateman,OAK,2018,24,WR,7,6,31,15,154,1,7,123,8.2,31,2.1,10.9,0,,2,6,0,73.9,999.0,36.4,136,154,18
Josh Bellamy,CHI,2018,29,WR,16,2,25,14,117,1,8,71,5.1,46,3.3,11.8,1,14.0,1,4,2,48.2,999.0,33.7,139,155,16
Cody Core,CIN,2018,24,WR,14,3,28,13,160,1,7,124,9.5,36,2.8,12.5,1,13.0,2,7,1,61.6,999.0,37.0,134,156,22
Keith Kirkwood,NOR,2018,24,WR,8,1,21,13,209,2,10,160,12.3,49,3.8,13.4,1,13.0,2,9,1,107.0,999.0,45.9,124,158,34
Dan Arnold,NOR,2018,23,WR,10,1,19,12,150,1,9,120,10.0,30,2.5,10.8,0,,1,5,1,83.2,999.0,33.0,141,160,19
Michael Floyd,WAS,2018,29,WR,13,3,24,10,100,1,5,71,7.1,29,2.9,14.3,1,10.0,4,16,1,50.7,999.0,28.0,149,165,16
Marvin Hall,ATL,2018,25,WR,16,0,19,10,149,1,5,92,9.2,57,5.7,10.9,0,,0,0,0,96.2,999.0,30.9,143,166,23
Russell Shepard,NYG,2018,28,WR,12,0,19,10,188,2,7,172,17.2,16,1.6,16.8,0,,1,5,2,82.7,999.0,40.8,129,167,38
Austin Carr,NOR,2018,25,WR,14,2,14,9,97,2,5,75,8.3,22,2.4,9.4,0,,0,0,0,124.1,999.0,30.7,144,168,24
Marcus Johnson,IND,2018,24,WR,5,0,8,6,102,1,5,74,12.3,28,4.7,13.8,0,,1,12,0,156.2,999.0,22.0,157,174,17
Vyncint Smith,HOU,2018,22,WR,7,1,10,5,91,1,3,85,17.0,6,1.2,19.3,0,,1,10,1,75.4,999.0,20.1,159,179,20
Leonte Carroo,MIA,2018,24,WR,9,0,4,2,94,1,2,58,29.0,36,18.0,26.3,0,,0,0,0,135.4,999.0,18.8,161,187,26
Allen Robinson,CHI,2019,26,WR,16,15,154,98,1147,7,63,875,8.9,272,2.8,11.1,5,19.6,7,4,4,90.5,72.5,254.9,8,28,20
Cooper Kupp,LAR,2019,26,WR,16,14,134,94,1161,10,51,623,6.6,538,5.7,7.2,9,10.4,3,2,2,115.3,49.0,270.5,4,21,17
